,question_id,occurrences
289,q4308,30915
290,q5,30834
291,q53,30741
292,q3633,30731
293,q6336,30728
294,q158,30721
295,q1384,30703
296,q4510,30665
297,q4304,30655
298,q6177,30630
299,q1251,30624
300,q5691,30603
301,q184,30516
302,q5773,30429
303,q5948,30407
304,q4467,30407
305,q3985,30375
306,q6948,30363
307,q6945,30357
308,q6947,30334
309,q6946,30333
310,q4543,30313
311,q5288,30262
312,q5095,30132
313,q985,30051
314,q8101,30028
315,q173,29858
316,q583,29823
317,q749,29794
318,q6213,29751
319,q6328,29726
320,q5264,29721
321,q1101,29676
322,q5289,29675
323,q4901,29654
324,q4031,29640
325,q6335,29557
326,q818,29555
327,q1175,29554
328,q291,29522
329,q507,29501
330,q4829,29476
331,q8099,29461
332,q4480,29419
333,q243,29415
334,q5655,29333
335,q11,29289
336,q448,29276
337,q1003,29276
338,q803,29254
339,q4272,29174
341,q5694,29134
340,q8154,29134
342,q5223,29119
343,q3919,29061
344,q1224,29006
345,q1030,28924
346,q905,28913
347,q1345,28874
348,q5255,28852
349,q219,28819
350,q5332,28811
351,q4077,28706
352,q788,28636
353,q5384,28626
354,q561,28625
355,q4489,28620
356,q8666,28549
357,q4172,28537
358,q594,28471
359,q3688,28447
360,q4316,28383
361,q6446,28381
362,q10637,28379
363,q10635,28377
364,q10636,28376
365,q10634,28370
366,q5282,28345
367,q6541,28328
368,q150,28255
369,q4502,28234
370,q5219,28158
371,q968,28128
372,q40,28097
373,q380,28084
374,q3684,28008
375,q413,27972
376,q4591,27959
377,q5320,27956
378,q4486,27923
379,q4313,27907
380,q8172,27859
381,q5686,27779
382,q5787,27702
383,q4519,27698
384,q4499,27671
385,q6942,27588
386,q6943,27580
387,q6944,27579
388,q6941,27567
389,q6382,27553
390,q4494,27520
391,q1195,27439
392,q6968,27429
393,q6916,27417
394,q6966,27410
395,q6967,27407
396,q6914,27406
397,q6965,27396
398,q6913,27384
399,q6915,27383
400,q5725,27367
401,q877,27324
402,q5761,27316
403,q4632,27279
404,q542,27274
405,q4820,27217
406,q6194,27189
407,q4509,27164
408,q6839,27118
409,q6355,27084
410,q6840,27078
411,q6838,27077
412,q4528,27072
413,q6837,27069
414,q1076,27056
415,q4849,27010
416,q4160,26982
417,q5061,26938
418,q312,26906
419,q166,26902
420,q5308,26871
421,q278,26826
422,q5736,26799
423,q5693,26798
424,q600,26738
425,q6261,26729
426,q8102,26729
427,q1234,26719
428,q108,26714
429,q4097,26709
430,q1340,26705
431,q5727,26679
432,q482,26675
433,q5321,26658
434,q5322,26636
435,q5221,26613
436,q6549,26551
437,q1331,26541
438,q5333,26534
439,q6547,26530
440,q4535,26488
441,q1315,26412
442,q726,26377
443,q1111,26375
444,q215,26304
445,q404,26291
446,q5417,26268
447,q6340,26258
448,q984,26219
449,q5062,26131
450,q5245,26109
451,q6168,26077
452,q4124,25982
453,q6364,25968
454,q6224,25961
455,q6517,25953
456,q796,25946
457,q5233,25943
458,q5307,25901
459,q271,25853
460,q3227,25754
461,q3225,25751
462,q3226,25740
463,q4597,25724
464,q5267,25675
465,q4553,25651
466,q5720,25643
467,q6338,25555
468,q8065,25545
469,q4158,25539
470,q160,25532
471,q5929,25529
472,q4774,25519
473,q830,25502
474,q8182,25489
475,q1084,25468
476,q4491,25451
477,q5785,25418
478,q1182,25379
479,q526,25324
480,q4473,25309
481,q4536,25298
482,q1225,25283
483,q4833,25267
484,q435,25260
485,q5768,25244
486,q6513,25224
487,q5070,25136
488,q4518,25126
490,q424,25102
489,q1291,25102
491,q5309,25098
492,q5329,25066
493,q6760,25017
494,q8143,24983
495,q10641,24913
496,q10640,24909
497,q356,24909
498,q10639,24905
499,q10638,24899
500,q77,24888
501,q6337,24818
502,q5393,24778
503,q9594,24777
504,q6472,24749
505,q5681,24743
506,q6503,24738
507,q1146,24731
508,q692,24722
509,q626,24698
510,q4783,24675
511,q483,24569
512,q4022,24512
513,q421,24499
514,q773,24490
515,q1075,24470
516,q5220,24393
517,q6358,24370
518,q5632,24301
519,q4633,24266
520,q52,24263
521,q5392,24253
522,q5771,24242
523,q5395,24201
524,q1097,24198
525,q940,24176
526,q6888,24111
527,q810,24107
528,q10020,24103
529,q6886,24098
530,q6887,24088
531,q5071,24081
532,q6885,24078
533,q4314,24073
534,q1112,24026
535,q6331,23984
536,q372,23983
537,q6684,23978
538,q6683,23964
539,q6681,23948
540,q6682,23946
541,q6327,23920
542,q5574,23888
543,q423,23867
544,q4200,23852
545,q1132,23834
546,q1360,23818
547,q729,23813
548,q308,23716
549,q1280,23708
550,q8179,23695
551,q10643,23679
552,q10645,23678
553,q10644,23676
554,q10642,23675
555,q5783,23648
556,q6294,23638
557,q403,23631
558,q5251,23610
559,q5391,23604
560,q6147,23598
561,q545,23580
562,q5400,23531
563,q6710,23499
564,q6712,23499
565,q6711,23495
566,q285,23490
567,q6709,23478
568,q3921,23464
569,q4002,23435
570,q6659,23427
571,q740,23421
572,q6658,23421
573,q6660,23418
574,q3915,23414
575,q6657,23412
576,q4487,23395
577,q6746,23364
578,q757,23362
579,q5493,23289
580,q6444,23240
581,q5396,23172
582,q6352,23128
583,q4161,23119
584,q6254,23113
585,q4495,23109
586,q4516,23079
587,q192,23075
588,q1253,23073
589,q245,23043
591,q4146,22995
590,q647,22995
592,q157,22949
593,q489,22918
594,q5339,22915
595,q6193,22853
596,q187,22839
597,q669,22823
598,q57,22799
599,q6732,22796
600,q400,22781
601,q6184,22719
602,q1335,22715
603,q342,22689
604,q5243,22680
605,q153,22674
606,q598,22671
607,q5327,22660
608,q9580,22648
609,q1088,22645
611,q4813,22638
610,q4558,22638
612,q214,22589
613,q5724,22562
614,q5779,22562
615,q5453,22529
616,q4541,22525
617,q3414,22516
618,q3416,22515
619,q3415,22511
620,q787,22496
621,q145,22468
622,q9608,22457
623,q8058,22454
624,q5046,22412
625,q4497,22411
626,q784,22390
627,q8124,22360
628,q8163,22342
629,q725,22337
630,q6318,22327
631,q8113,22322
632,q3689,22308
633,q467,22278
634,q8094,22261
635,q8131,22251
636,q5065,22241
637,q6353,22235
638,q2861,22198
639,q2860,22194
640,q4,22193
641,q2859,22186
642,q4047,22156
643,q1208,22152
644,q8176,22148
645,q6073,22048
646,q455,22035
647,q6872,22029
648,q6870,22028
649,q6871,22020
650,q6869,22015
651,q5741,22000
652,q66,21992
653,q5763,21981
654,q5665,21957
655,q5758,21954
656,q1257,21951
657,q330,21947
658,q6928,21924
659,q6927,21903
660,q6926,21894
661,q6925,21890
662,q263,21885
663,q4176,21880
664,q4526,21873
665,q5782,21867
666,q9638,21863
667,q4565,21854
668,q172,21829
669,q217,21822
670,q51,21795
671,q3666,21788
672,q195,21769
673,q4617,21734
674,q307,21726
675,q1323,21713
676,q754,21709
677,q4475,21688
678,q6515,21681
679,q4844,21668
680,q1011,21658
681,q6931,21629
682,q6929,21617
683,q6930,21613
684,q655,21612
685,q6932,21612
686,q5407,21601
687,q442,21599
688,q4121,21567
689,q370,21547
690,q724,21540
691,q6652,21526
692,q6465,21526
693,q6237,21521
694,q1048,21518
695,q6650,21518
696,q5656,21505
697,q6649,21505
698,q6651,21503
699,q8103,21497
700,q3898,21489
701,q6363,21477
702,q4187,21476
703,q750,21468
704,q123,21443
705,q5043,21440
706,q5287,21437
707,q557,21420
708,q8692,21416
709,q105,21403
710,q387,21352
711,q555,21345
712,q1374,21345
713,q368,21342
714,q6351,21339
715,q5630,21280
716,q4544,21274
717,q5458,21206
718,q26,21194
719,q1295,21188
720,q5231,21173
721,q4055,21160
722,q5421,21153
723,q569,21143
724,q6200,21073
725,q2945,20993
726,q2944,20992
727,q2943,20989
728,q5047,20959
729,q6333,20937
730,q5250,20916
731,q621,20873
732,q5067,20872
733,q4023,20847
734,q1203,20845
735,q350,20823
736,q325,20821
737,q4492,20811
738,q4619,20809
740,q508,20792
739,q4485,20792
741,q6508,20786
742,q1268,20781
743,q6703,20750
744,q6704,20744
745,q6701,20738
746,q5304,20734
747,q8118,20722
748,q6702,20718
749,q4040,20692
750,q4018,20644
751,q527,20582
752,q129,20567
753,q4602,20530
754,q5045,20517
755,q6432,20502
756,q5272,20501
757,q8169,20492
758,q5413,20450
759,q5077,20444
760,q5756,20438
761,q6512,20429
762,q6843,20426
763,q8090,20420
764,q6844,20415
765,q6841,20409
766,q6842,20400
767,q6330,20397
768,q1104,20397
769,q181,20372
770,q5336,20353
771,q759,20341
772,q4493,20331
773,q4186,20298
774,q109,20254
775,q751,20230
776,q998,20206
777,q961,20202
778,q5746,20180
779,q19,20170
780,q4836,20164
781,q6253,20146
782,q115,20123
783,q6045,20110
784,q5072,20103
785,q1068,20071
786,q1246,20066
787,q5330,20041
788,q4163,20028
789,q8652,20021
790,q4916,20014
791,q8120,19988
792,q223,19968
793,q4593,19956
794,q4321,19922
795,q4205,19891
796,q776,19856
797,q121,19831
798,q6334,19820
799,q8177,19788
800,q1394,19742
801,q427,19679
802,q9641,19674
803,q1110,19666
804,q927,19644
805,q4137,19639
806,q3669,19630
807,q6696,19628
808,q6695,19623
809,q762,19618
810,q6694,19614
811,q6693,19606
812,q16,19592
813,q4732,19569
814,q4520,19566
815,q124,19554
816,q4042,19550
817,q6085,19549
818,q194,19547
819,q8133,19544
820,q633,19540
821,q5646,19520
822,q5470,19481
823,q6499,19432
824,q4210,19420
825,q13,19418
826,q29,19415
827,q8417,19392
828,q4203,19391
829,q5353,19358
830,q6062,19349
831,q6115,19324
832,q589,19313
833,q5277,19296
834,q3956,19293
835,q3121,19283
836,q3122,19275
837,q3120,19273
838,q4769,19263
839,q3659,19240
840,q1233,19227
841,q5310,19183
842,q4500,19177
843,q25,19166
844,q6811,19163
845,q5774,19150
846,q6812,19149
847,q6076,19148
848,q938,19146
849,q6810,19144
850,q438,19138
851,q6809,19136
852,q8092,19128
853,q4521,19123
854,q4592,19112
855,q4792,19085
856,q6056,19022
857,q8658,19020
858,q9612,19019
859,q4799,18965
860,q949,18943
861,q4793,18937
862,q4277,18937
863,q1400,18913
864,q1159,18898
865,q1310,18887
866,q3805,18855
867,q6365,18821
868,q4765,18820
869,q5286,18780
870,q5331,18757
871,q3983,18656
872,q1336,18634
873,q1065,18632
874,q254,18629
875,q8181,18623
876,q5678,18620
877,q676,18601
878,q5351,18591
879,q1086,18587
880,q6980,18569
881,q6978,18563
882,q6979,18553
883,q6977,18552
884,q366,18542
885,q5390,18478
886,q1155,18456
887,q8149,18446
888,q707,18442
889,q6994,18437
890,q6995,18429
891,q6996,18428
892,q6993,18427
893,q415,18426
894,q6544,18425
895,q9579,18404
896,q6170,18401
897,q730,18382
898,q8097,18344
899,q5433,18341
900,q1538,18327
901,q1537,18323
902,q1536,18321
903,q1187,18321
904,q3815,18307
905,q6516,18294
906,q6082,18293
907,q4545,18290
908,q6735,18272
909,q5347,18269
910,q6776,18247
911,q6775,18239
912,q4470,18235
913,q256,18227
914,q6774,18225
915,q6773,18222
916,q6326,18210
917,q916,18207
918,q5772,18202
919,q846,18199
920,q1319,18191
921,q4282,18181
922,q6636,18177
923,q6634,18175
924,q6635,18174
925,q62,18167
926,q6633,18167
927,q735,18166
929,q1373,18157
928,q4605,18157
930,q6572,18146
931,q6571,18142
932,q6570,18140
933,q6569,18136
934,q5078,18125
935,q4757,18118
936,q6768,18101
937,q8170,18099
938,q5150,18095
939,q6767,18083
940,q8052,18079
942,q6766,18078
941,q63,18078
943,q6765,18073
944,q5312,18053
945,q6852,18050
946,q5521,18047
947,q4561,18047
948,q6851,18046
950,q6849,18043
949,q6850,18043
951,q4037,18037
952,q369,18032
953,q6532,18023
954,q5747,18016
955,q3334,18006
956,q3335,18004
957,q3333,18002
958,q84,17997
959,q6961,17986
960,q6964,17982
961,q6962,17978
962,q6963,17972
963,q8114,17971
964,q502,17966
965,q6139,17964
966,q4819,17960
967,q6648,17951
968,q6269,17936
969,q6647,17933
970,q6646,17924
971,q6645,17922
972,q4151,17906
973,q1343,17895
974,q6164,17892
975,q981,17884
976,q924,17883
977,q89,17880
978,q5388,17871
979,q931,17856
980,q1185,17840
981,q629,17814
982,q4464,17798
983,q384,17783
984,q8455,17773
985,q1213,17771
986,q241,17758
987,q6176,17753
988,q711,17741
989,q6521,17738
990,q712,17735
991,q5218,17718
992,q3998,17713
993,q5284,17689
994,q4250,17678
995,q5996,17651
996,q956,17649
997,q6196,17613
998,q78,17612
999,q6988,17600
1000,q174,17589
1001,q6985,17582
1002,q6986,17582
1003,q1322,17579
1004,q6987,17575
1005,q6514,17564
1006,q1759,17556
1007,q1760,17550
1008,q209,17549
1009,q1758,17538
1010,q5418,17535
1011,q394,17503
1012,q995,17471
1013,q4288,17448
1014,q1390,17433
1015,q4056,17427
1016,q684,17406
1017,q855,17402
1018,q6667,17399
1019,q6666,17396
1020,q6668,17393
1021,q1361,17392
1022,q6665,17391
1023,q5677,17387
1024,q6202,17349
1025,q623,17325
1026,q6332,17314
1027,q456,17314
1028,q5394,17313
1029,q283,17299
1030,q4560,17289
1031,q3824,17259
1032,q4115,17238
1033,q1017,17237
1034,q5767,17219
1035,q584,17218
1036,q358,17215
1037,q4891,17205
1038,q236,17150
1039,q1162,17142
1040,q6440,17131
1041,q4603,17130
1042,q646,17118
1043,q1290,17118
1044,q6486,17115
1045,q1393,17115
1046,q4599,17109
1047,q6860,17104
1049,q436,17102
1048,q6858,17102
1050,q6859,17101
1051,q6857,17100
1052,q6991,17090
1053,q935,17090
1054,q5352,17089
1055,q4296,17088
1056,q6990,17085
1057,q6992,17085
1058,q6989,17082
1059,q6069,17075
1060,q6163,17071
1061,q4062,17056
1062,q5240,17039
1063,q1171,17021
1064,q5135,17015
1065,q5411,17006
1066,q3224,17005
1067,q3222,16992
1068,q3223,16991
1069,q4498,16982
1070,q4805,16968
1071,q5744,16961
1072,q5224,16953
1073,q769,16945
1074,q6477,16938
1075,q741,16924
1076,q581,16915
1077,q5748,16909
1078,q955,16908
1079,q4607,16879
1080,q745,16879
1081,q4554,16863
1082,q832,16818
1083,q185,16812
1084,q6329,16805
1085,q7855,16799
1086,q7852,16799
1087,q7854,16799
1088,q7851,16797
1089,q7853,16791
1090,q3997,16787
1091,q506,16775
1092,q4450,16773
1093,q8699,16772
1094,q547,16769
1095,q6063,16769
1096,q216,16760
1097,q731,16728
1098,q5334,16726
1099,q6140,16724
1100,q6976,16703
1101,q6975,16699
1102,q6973,16694
1103,q6974,16692
1104,q5066,16671
1105,q8106,16666
1106,q634,16653
1107,q1877,16645
1108,q1875,16644
1109,q320,16641
1110,q1876,16640
1111,q4471,16639
1112,q8137,16637
1113,q6834,16623
1114,q6835,16622
1115,q6836,16620
1116,q6833,16610
1117,q703,16604
1118,q140,16601
1119,q4856,16599
1120,q5073,16585
1121,q6892,16582
1122,q6087,16581
1123,q399,16563
1124,q6891,16557
1125,q6890,16552
1126,q6889,16550
1127,q4320,16547
1128,q5500,16523
1129,q6215,16518
1130,q1327,16509
1131,q550,16486
1132,q143,16479
1133,q5743,16475
1134,q6070,16469
1135,q440,16466
1136,q6100,16454
1137,q3925,16453
1138,q38,16448
1139,q1119,16445
1140,q5629,16417
1141,q1919,16379
1142,q1918,16373
1143,q1917,16370
1144,q8166,16359
1145,q4038,16358
1146,q4484,16354
1147,q8,16349
1148,q3655,16341
1149,q8122,16322
1150,q4078,16302
1151,q210,16299
1152,q165,16283
1153,q792,16266
1154,q748,16261
1155,q379,16254
1156,q822,16242
1157,q4790,16239
1158,q8687,16230
1159,q1733,16229
1160,q1731,16229
1161,q1732,16229
1162,q3930,16213
1163,q1072,16207
1164,q6321,16198
1165,q154,16192
1166,q393,16183
1167,q1239,16171
1168,q1286,16158
1169,q5325,16146
1170,q881,16138
1171,q3922,16115
1172,q1205,16112
1173,q249,16109
1174,q5688,16107
1175,q6173,16105
1176,q4041,16093
1177,q425,16086
1178,q5237,16081
1179,q6498,16079
1180,q5540,16074
1181,q4538,16060
1182,q9599,16038
1183,q240,16028
1184,q4082,16026
1185,q4276,16002
1186,q497,15977
1188,q2004,15968
1187,q2005,15968
1189,q2006,15966
1190,q6742,15958
1191,q390,15957
1192,q1070,15948
1193,q485,15940
1194,q8095,15931
1195,q6880,15917
1196,q6879,15912
1197,q6878,15911
1198,q6877,15900
1199,q4030,15897
1200,q261,15891
1201,q1304,15888
1202,q957,15879
1203,q4552,15868
1204,q6827,15867
1205,q1521,15866
1206,q1523,15865
1207,q1522,15865
1208,q1365,15861
1209,q1107,15860
1210,q8167,15859
1211,q6825,15858
1212,q6828,15856
1213,q8460,15855
1214,q6826,15854
1215,q4563,15850
1216,q86,15840
1217,q4469,15830
1218,q5161,15830
1219,q4600,15822
1220,q8142,15819
1221,q6644,15816
1222,q6020,15812
1223,q6643,15810
1224,q6053,15806
1225,q6642,15805
1226,q6641,15805
1227,q1477,15803
1228,q1478,15801
1229,q1476,15799
1230,q335,15782
1231,q5739,15748
1232,q699,15745
1233,q1753,15744
1234,q1752,15741
1235,q1754,15741
1236,q221,15733
1237,q5669,15730
1239,q3355,15723
1238,q3354,15723
1240,q3356,15720
1241,q6725,15718
1242,q385,15696
1243,q4747,15649
1244,q829,15644
1245,q743,15641
1246,q3687,15638
1247,q1484,15628
1249,q1482,15626
1248,q1483,15626
1250,q5091,15618
1251,q4756,15616
1252,q6322,15604
1253,q823,15603
1254,q5742,15594
1255,q7000,15585
1256,q6998,15581
1257,q6999,15580
1258,q5661,15579
1259,q6997,15577
1260,q523,15564
1261,q2104,15561
1262,q2105,15559
1263,q2103,15558
1264,q5338,15548
1265,q4754,15537
1266,q6819,15531
1267,q6818,15527
1268,q1641,15521
1269,q1643,15520
1270,q6817,15520
1271,q1642,15519
1272,q6522,15518
1273,q6820,15518
1274,q1052,15500
1275,q5035,15494
1276,q405,15486
1278,q1527,15481
1277,q1529,15481
1279,q1528,15480
1280,q260,15479
1281,q1079,15476
1282,q490,15457
1283,q5397,15449
1284,q1740,15444
1285,q1742,15444
1286,q1741,15444
1287,q5685,15438
1288,q6741,15437
1289,q698,15434
1290,q511,15428
1291,q541,15426
1292,q101,15422
1293,q8086,15415
1294,q1311,15412
1295,q388,15410
1296,q6863,15409
1298,q6864,15402
1297,q6862,15402
1299,q6861,15398
1300,q1409,15398
1301,q1407,15396
1302,q6136,15395
1303,q1408,15388
1304,q5754,15376
1305,q3741,15367
1306,q1802,15363
1307,q1800,15359
1308,q1801,15356
1309,q2079,15351
1310,q2081,15350
1311,q2080,15349
1312,q6482,15340
1313,q8423,15330
1314,q6904,15325
1315,q1430,15316
1316,q6903,15316
1318,q1429,15315
1317,q1428,15315
1319,q6902,15310
1320,q6901,15307
1321,q6672,15300
1322,q5410,15295
1323,q6671,15290
1324,q296,15287
1325,q6670,15284
1326,q5206,15282
1328,q737,15278
1327,q6669,15278
1329,q1252,15276
1330,q1177,15271
1331,q3785,15268
1332,q386,15264
1333,q4007,15263
1334,q6688,15240
1335,q6112,15238
1336,q323,15238
1337,q6686,15229
1338,q2010,15228
1339,q2012,15225
1340,q867,15224
1341,q2011,15224
1342,q6685,15224
1343,q6687,15222
1344,q6662,15214
1345,q6663,15212
1346,q873,15211
1348,q6661,15207
1347,q2088,15207
1349,q2089,15206
1350,q2090,15205
1351,q6664,15205
1352,q560,15198
1353,q6325,15171
1354,q5786,15162
1355,q5526,15160
1356,q996,15156
1357,q519,15148
1358,q612,15146
1359,q4026,15146
1360,q1081,15138
1361,q4854,15130
1362,q6072,15128
1363,q171,15109
1364,q4060,15104
1365,q1479,15102
1366,q1480,15100
1367,q1481,15099
1368,q251,15096
1369,q5757,15094
1370,q6543,15072
1371,q6142,15063
1372,q1126,15056
1373,q1050,15053
1374,q499,15048
1375,q2195,15022
1376,q2194,15011
1378,q2193,15010
1377,q6884,15010
1379,q5253,15008
1380,q6883,15006
1381,q6881,15006
1382,q6882,14995
1383,q8068,14980
1384,q5306,14963
1385,q2145,14962
1386,q2147,14959
1387,q2146,14959
1388,q1109,14958
1389,q4113,14929
1390,q491,14925
1391,q1249,14916
1392,q5348,14910
1393,q6755,14905
1394,q5664,14894
1395,q6110,14887
1396,q596,14880
1397,q1461,14866
1398,q1462,14865
1399,q1463,14865
1400,q8152,14859
1401,q6324,14823
1402,q6566,14812
1403,q6568,14812
1404,q6567,14811
1405,q7890,14803
1406,q7886,14803
1407,q7888,14802
1408,q6565,14801
1409,q7889,14800
1410,q7887,14798
1411,q6029,14790
1412,q408,14785
1413,q1069,14780
1414,q398,14780
1415,q196,14779
1416,q890,14767
1417,q5055,14755
1418,q4432,14747
1419,q918,14742
1420,q4743,14742
1421,q5315,14738
1422,q500,14737
1423,q8656,14721
1424,q4672,14717
1425,q5424,14711
1427,q9551,14706
1426,q4797,14706
1428,q2262,14686
1429,q2264,14686
1430,q2263,14685
1431,q3833,14680
1432,q177,14668
1433,q6970,14664
1434,q458,14663
1435,q1114,14658
1436,q6972,14657
1437,q6969,14655
1438,q6971,14654
1439,q463,14634
1440,q341,14625
1441,q73,14618
1442,q6206,14607
1443,q5650,14597
1444,q6242,14586
1445,q6102,14582
1446,q2623,14579
1447,q10042,14578
1448,q2624,14570
1449,q2622,14570
1450,q6753,14561
1451,q3782,14560
1452,q6721,14559
1453,q475,14552
1454,q911,14543
1455,q6924,14543
1456,q6921,14532
1457,q6162,14532
1460,q6922,14529
1459,q3306,14529
1458,q6923,14529
1461,q401,14525
1462,q3307,14518
1463,q382,14514
1464,q963,14514
1465,q3308,14511
1466,q4688,14492
1467,q6655,14491
1468,q5904,14487
1469,q6656,14486
1470,q6653,14483
1471,q6654,14482
1472,q5234,14482
1473,q7524,14474
1474,q7520,14473
1475,q7522,14473
1477,q7521,14471
1478,q294,14471
1476,q7523,14471
1479,q8165,14450
1480,q1724,14436
1481,q1723,14428
1482,q1722,14418
1483,q2681,14412
1484,q5577,14408
1485,q2680,14408
1486,q2679,14406
1487,q4066,14406
1488,q6433,14388
1489,q641,14381
1490,q64,14380
1491,q662,14376
1492,q4083,14363
1493,q5365,14359
1494,q6780,14352
1495,q6091,14350
1496,q5781,14343
1497,q643,14340
1498,q6779,14337
1499,q15,14335
1500,q6778,14334
1501,q1053,14328
1502,q6777,14321
1503,q704,14318
1504,q9631,14318
1505,q1363,14309
1506,q317,14303
1507,q9814,14289
1508,q869,14278
1509,q565,14272
1510,q1190,14235
1511,q1186,14226
1512,q333,14223
1513,q516,14218
1514,q6040,14210
1515,q1275,14204
1516,q493,14203
1518,q3402,14196
1517,q3403,14196
1519,q3404,14195
1520,q5398,14191
1521,q8396,14183
1522,q213,14179
1523,q576,14175
1524,q310,14171
1525,q794,14147
1526,q8671,14146
1527,q6152,14144
1528,q4918,14142
1529,q848,14133
1530,q2393,14126
1531,q2392,14120
